Associated User,Machine Name,Delivery Group,Session Start Time,Session End Time,Session Duration (hr:min)
jfisher11,ADCF\FACAD3PDECX08P,SPSS,12/11/2017 3:08:34 PM,12/11/2017 4:33:11 PM,1:24
jfisher11,ADCF\FACAD3PDECX05P,Analysts,12/11/2017 9:25:27 AM,12/11/2017 2:46:50 PM,5:21
hhein2,ADCF\FACAD3PDECX05P,Analysts,12/11/2017 6:54:12 AM,12/12/2017 4:24:03 AM,21:29
sschwab2,ADCF\FACAD3PDECX05P,Analysts,12/12/2017 4:21:11 PM,12/12/2017 11:09:18 PM,6:48
mseibert0,ADCF\FACAD3PDECX05P,Analysts,12/12/2017 7:24:33 AM,12/12/2017 3:02:19 PM,7:37
rmomberger0,ADCF\FACAD3PDECX05P,Analysts,12/14/2017 9:23:31 AM,12/14/2017 10:08:13 AM,0:44
fhuante2,ADCF\FACAD3PDECX08P,SPSS,12/7/2017 11:44:50 AM,12/7/2017 5:55:05 PM,6:10
cwelsh2,ADCF\FACAD3PDECX07P,SAS,12/14/2017 8:17:06 AM,Running,3:5
plockwood-bean0,ADCF\FACAD3PDECX07P,SAS,12/7/2017 8:21:26 AM,12/7/2017 2:42:06 PM,6:20
ihwang2,ADCF\FACAD3PDECX06P,UNIV_SAS,12/11/2017 12:25:16 PM,12/11/2017 3:12:32 PM,2:47
estewart7,ADCF\FACAD3PDECX07P,SAS,12/11/2017 7:08:52 AM,12/11/2017 10:49:38 AM,3:40
supgde,ADCF\FACAD3PDECX08P,SPSS,12/12/2017 3:19:07 PM,12/12/2017 3:19:42 PM,0:0
jfisher11,ADCF\FACAD3PDECX08P,SPSS,12/9/2017 2:31:19 PM,12/10/2017 8:12:47 PM,29:41
kszeto0,ADCF\FACAD3PDECX05P,Analysts,12/7/2017 9:37:21 AM,12/7/2017 4:29:16 PM,6:51
aperez,ADCF\FACAD3PDECX08P,SPSS,12/7/2017 11:51:48 AM,12/7/2017 1:51:46 PM,1:59
jfisher11,ADCF\FACAD3PDECX08P,SPSS,12/11/2017 7:41:28 AM,12/11/2017 10:49:35 AM,3:8
rramachandran0,ADCF\FACAD3PDECX07P,SAS,12/8/2017 11:59:30 AM,12/8/2017 4:07:29 PM,4:7
ksmith67,ADCF\FACAD3PDECX05P,Analysts,12/9/2017 3:03:19 PM,12/9/2017 3:44:11 PM,0:40
supgde,ADCF\FACAD3PDECX07P,SAS,12/11/2017 1:33:45 PM,12/11/2017 2:05:05 PM,0:31
