"","User.Name","Machine.Name","Delivery.Group","Logon.Attempt.Time","Total..sec.","Brokering..sec.","VM.Start..sec.","HDX.Connection..sec.","Authentication..sec.","GPOs..sec.","Logon.scripts..sec.","Profile.load..sec.","Interactive.sessions..sec.","Logon.Attempt.Outcome","Failure.Reason","Weekday","Date","Hour"
"46","alathrop0","ADCF\FACAD3PDECX08P","SPSS","11/16/2017 11:44:54 PM","64.715","0.017","n/a","3.75","6.75","4.796","n/a","0.533","21.633","Success","n/a","Thursday","2017-11-16",11
"47","alathrop0","ADCF\FACAD3PDECX08P","SPSS","11/15/2017 4:00:33 PM","68.037","0.017","n/a","3.646","11.204","1.27","n/a","0.846","23.416","Success","n/a","Wednesday","2017-11-15",4
"48","alathrop0","ADCF\FACAD3PDECX08P","SPSS","11/20/2017 6:26:02 PM","68.913","0.05","n/a","4.216","8.594","2.513","n/a","0.796","26.853","Success","n/a","Monday","2017-11-20",6
"49","alathrop0","ADCF\FACAD3PDECX08P","SPSS","11/17/2017 6:15:26 PM","63.144","0.034","n/a","3.9","7.266","1.213","n/a","0.373","23.9","Success","n/a","Friday","2017-11-17",6
"50","estewart7","ADCF\FACAD3PDECX07P","SAS","11/17/2017 3:04:57 PM","92.436","0.03","n/a","7.353","9.093","8.296","n/a","0.876","32.746","Success","n/a","Friday","2017-11-17",3
"51","estewart7","ADCF\FACAD3PDECX05P","Analysts","11/20/2017 3:02:32 PM","86.784","0.017","n/a","2.79","8.047","2.563","n/a","0.61","27.31","Success","n/a","Monday","2017-11-20",3
"52","estewart7","ADCF\FACAD3PDECX07P","SAS","11/20/2017 3:01:45 PM","108.574","0","n/a","3.163","8.281","1.936","n/a","0.703","24.806","Success","n/a","Monday","2017-11-20",3
"53","estewart7","ADCF\FACAD3PDECX07P","SAS","11/16/2017 3:01:41 PM","88.363","0.017","n/a","5.276","14.188","1.266","n/a","0.47","25.5","Success","n/a","Thursday","2017-11-16",3
"54","estewart7","ADCF\FACAD3PDECX07P","SAS","11/15/2017 3:07:21 PM","91.361","0","n/a","2.713","7.844","1.64","n/a","0.483","26.36","Success","n/a","Wednesday","2017-11-15",3
"55","estewart7","ADCF\FACAD3PDECX05P","Analysts","11/17/2017 4:38:04 PM","81.379","0.016","n/a","2.536","10.938","5.55","n/a","0.72","31.44","Success","n/a","Friday","2017-11-17",4
"56","estewart7","ADCF\FACAD3PDECX07P","SAS","11/21/2017 3:08:13 PM","63.513","0","n/a","2.863","7.313","1.19","n/a","0.736","18.726","Success","n/a","Tuesday","2017-11-21",3
"57","estewart7","ADCF\FACAD3PDECX05P","Analysts","11/21/2017 3:06:50 PM","699.713","0","n/a","2.903","16.234","4.72","n/a","1.656","616.846","Success","n/a","Tuesday","2017-11-21",3
"58","kevin.mason","ADCF\FACAD3PDECX07P","SAS","11/15/2017 4:50:21 PM","50.2","0.017","n/a","4.74","0.016","1.256","n/a","1.273","27.346","Success","n/a","Wednesday","2017-11-15",4
"59","jbergevin","ADCF\FACAD3PDECX08P","SPSS","11/21/2017 4:41:55 PM","91.904","0.017","n/a","9.736","9.625","7.16","n/a","0.65","32.143","Success","n/a","Tuesday","2017-11-21",4
"60","jbergevin","ADCF\FACAD3PDECX08P","SPSS","11/21/2017 7:17:18 PM","75.984","0.017","n/a","7.683","7.609","1.193","n/a","0.773","26.07","Success","n/a","Tuesday","2017-11-21",7
